IPAddress,Parameter,Periodicity,RFValue,Thresholdvalue,ClientName
10.254.208.5,InterfaceInDiscardsRate(gigabitethernet12),180,3,10,ATMSL
10.254.208.5,InterfaceInDiscardsRate(gigabitethernet24),180,3,10,ATMSL
10.254.208.5,InterfaceInDiscardsRate(gigabitethernet25),180,3,10,ATMSL
10.254.208.5,InterfaceInDiscardsRate(gigabitethernet26),180,3,10,ATMSL
10.254.208.5,InterfaceInDiscardsRate(gigabitethernet27),180,3,10,ATMSL
10.254.208.5,InterfaceInDiscardsRate(gigabitethernet28),180,3,10,ATMSL
10.254.208.5,InterfaceInErrorsRate(gigabitethernet10),180,3,10,ATMSL
10.254.208.5,InterfaceCRCErrors(gigabitethernet11),120,3,100,ATMSL
10.254.208.5,InterfaceCRCErrors(gigabitethernet13),120,3,100,ATMSL
10.254.208.5,InterfaceCRCErrors(gigabitethernet18),120,3,100,ATMSL
10.254.208.5,InterfaceCRCErrors(gigabitethernet2),120,3,100,ATMSL
10.254.208.5,InterfaceCRCErrors(gigabitethernet21),120,3,100,ATMSL
10.254.208.5,InterfaceCRCErrors(gigabitethernet26),120,3,100,ATMSL
10.254.208.5,InterfaceCRCErrors(gigabitethernet28),120,3,100,ATMSL
10.254.208.5,InterfaceCRCErrors(gigabitethernet9),120,3,100,ATMSL
10.254.208.5,InterfaceCRCErrors(tunnel1),120,3,100,ATMSL
10.254.208.5,InterfaceInDiscardsRate(500),180,3,10,ATMSL
10.254.208.5,InterfaceInDiscardsRate(gigabitethernet13),180,3,10,ATMSL
10.254.208.5,InterfaceInDiscardsRate(gigabitethernet15),180,3,10,ATMSL
10.254.208.5,InterfaceInDiscardsRate(gigabitethernet21),180,3,10,ATMSL
10.254.208.5,InterfaceInDiscardsRate(gigabitethernet23),180,3,10,ATMSL
10.254.208.5,InterfaceInDiscardsRate(gigabitethernet4),180,3,10,ATMSL
10.254.208.5,InterfaceInDiscardsRate(gigabitethernet6),180,3,10,ATMSL
10.254.208.5,InterfaceInDiscardsRate(tunnel1),180,3,10,ATMSL
10.254.208.5,InterfaceInErrorsRate(500),180,3,10,ATMSL
10.254.208.5,InterfaceInErrorsRate(gigabitethernet15),180,3,10,ATMSL
10.254.208.5,InterfaceInErrorsRate(gigabitethernet17),180,3,10,ATMSL
10.254.208.5,InterfaceInErrorsRate(gigabitethernet23),180,3,10,ATMSL
10.254.208.5,InterfaceInErrorsRate(gigabitethernet25),180,3,10,ATMSL
10.254.208.5,InterfaceInErrorsRate(gigabitethernet4),180,3,10,ATMSL
10.254.208.5,InterfaceInErrorsRate(gigabitethernet6),180,3,10,ATMSL
10.254.208.5,InterfaceInUtilization(gigabitethernet10),60,3,90,ATMSL
10.254.208.5,InterfaceInUtilization(gigabitethernet12),60,3,90,ATMSL
10.254.208.5,InterfaceInUtilization(gigabitethernet19),60,3,90,ATMSL
10.254.208.5,InterfaceInUtilization(gigabitethernet20),60,3,90,ATMSL
